,name,txt,compound,pos,neu,neg,timestamp
299,CNN Breaking News,"RT @CNNPolitics: Former Attorney General Loretta Lynch defends her handling of the Clinton email investigation, saying in a statement that…",0.0,0.0,1.0,0.0,2018-04-16 01:36:32
298,CNN Breaking News,"A 56-year-old Minnesota grandmother is wanted in connection to the murder of her husband and a Florida woman, whose… https://t.co/qNcORX5oNB",-0.6908,0.0,0.783,0.217,2018-04-17 14:04:12
297,CNN Breaking News,RT @CNNMoney: Martin Shkreli transferred to prison in New Jersey https://t.co/lbAI4RmPCn https://t.co/h0Ma3ouWAK,-0.5106,0.0,0.769,0.231,2018-04-18 17:51:07
296,CNN Breaking News,Fired FBI director James Comey sits down for an interview with Jake Tapper as his public war of words with Presiden… https://t.co/QTqW3zhArR,-0.8176,0.0,0.727,0.273,2018-04-19 20:00:03
295,CNN Breaking News,"The CDC says not to eat romaine lettuce in any form unless you can be sure it didn't come from the Yuma, Arizona, a… https://t.co/FF2Ks2RmXl",0.3182,0.087,0.913,0.0,2018-04-20 22:09:55
294,CNN Breaking News,"Sen. Bob Corker on Russia: ""Our relations are at that low point, the lowest since the Cuban Missile Crisis … We sho… https://t.co/MtOxdyJtR4",-0.8316,0.0,0.683,0.317,2018-04-22 13:34:53
293,CNN Breaking News,"It appears that the van crashing into pedestrians in Toronto was done deliberately, an official says… https://t.co/NbFdtHBvfZ",0.0,0.0,1.0,0.0,2018-04-23 20:12:41
292,CNN Breaking News,"At least 19 people were killed after gunmen opened fire at a church in Nigeria, police say https://t.co/wFawd9XTYZ https://t.co/6s166tAYNi",-0.7845,0.0,0.699,0.301,2018-04-24 21:56:21
291,CNN Breaking News,"Former FBI Director James Comey on President Donald Trump: ""I don't believe he's morally fit to be President of the… https://t.co/CXE3MxAoC6",0.3612,0.111,0.889,0.0,2018-04-26 00:15:00
290,CNN Breaking News,"Formal end to Korean War will be declared later this year, 65 years after hostilities ceased, North and South Korea… https://t.co/imVDa6oJmd",-0.7906,0.0,0.731,0.269,2018-04-27 09:07:57
289,CNN Breaking News,Thousands protest in Spain after five men were cleared of gang rape of an 18-year-old woman. They were convicted of… https://t.co/kf1c5WD5WW,-0.743,0.054,0.69,0.257,2018-04-28 19:13:26
288,CNN Breaking News,"President Trump is expected to speak at the National Rifle Association's annual meeting later this week in Dallas,… https://t.co/BpqbdrsEFx",0.0,0.0,1.0,0.0,2018-04-30 00:27:52
287,CNN Breaking News,Vatican treasurer Cardinal George Pell to face trial for alleged historical sexual abuse in case that has shaken Ca… https://t.co/5Ioy85zYjp,-0.6124,0.062,0.708,0.229,2018-05-01 00:45:01
286,CNN Breaking News,Follow live: President Trump participates in the swearing-in ceremony of Secretary of State Mike Pompeo… https://t.co/rICCZnB0Sb,0.0,0.0,1.0,0.0,2018-05-02 15:17:55
285,CNN Breaking News,Trump lawyer Rudy Giuliani says three Americans held in a North Korean prison are set to be released today… https://t.co/caikf4bXuN,-0.5106,0.0,0.845,0.155,2018-05-03 12:21:38
284,CNN Breaking News,"President Trump defends his new lawyer Rudy Giuliani, says he ""will get his facts straight"" after statements on por… https://t.co/fgTFSafDS3",0.2263,0.091,0.909,0.0,2018-05-04 14:26:28
283,CNN Breaking News,"A 16-year-old girl in India was allegedly kidnapped and gang-raped, then later burned to death after her parents co… https://t.co/Unl5gUTfMB",-0.5994,0.0,0.822,0.178,2018-05-05 21:14:56
282,CNN Breaking News,"More people say the US is doing better, a new CNN poll says, and Trump's rating for handling several key issues is… https://t.co/YkYF1BcYsP",0.4404,0.121,0.879,0.0,2018-05-07 20:06:37
281,CNN Breaking News,"Gina Haspel told a story at her Senate confirmation hearing of her first meeting with an agent on a ""dark, moonless… https://t.co/JwBbixO72k",0.0,0.0,1.0,0.0,2018-05-09 14:36:51
280,CNN Breaking News,The suspected Golden State Killer has been charged with four more counts of first-degree murder… https://t.co/jNf0XC90Hy,-0.7906,0.0,0.619,0.381,2018-05-10 22:21:48
279,CNN Breaking News,"At least two people were killed in explosions at three churches in Indonesia, a police official says… https://t.co/tFpESXcC0S",-0.6705,0.0,0.78,0.22,2018-05-13 02:14:55
278,CNN Breaking News,White House briefing with deputy press secretary Raj Shah. Watch CNN https://t.co/cDhamI1PRt https://t.co/dOwLEfQf7K,0.0,0.0,1.0,0.0,2018-05-14 18:19:30
277,CNN Breaking News,"Manhattan will stop prosecuting most low-level marijuana cases starting August 1, DA says https://t.co/xJKaApe9JC https://t.co/8HnMenMR2x",-0.296,0.0,0.864,0.136,2018-05-15 23:53:29
276,CNN Breaking News,"For the first time in the organization's history, Miss America will be led entirely by women -- and they're all for… https://t.co/nf0rse0klF",-0.1531,0.0,0.929,0.071,2018-05-17 18:00:25
275,CNN Breaking News,"Possible explosive devices found at scene of Texas school shooting and off campus, Santa Fe Independent School Dist… https://t.co/mEyGQNnANd",0.0,0.0,1.0,0.0,2018-05-18 16:36:18
274,CNN Breaking News,Melania Trump returns home to the White House after undergoing a kidney procedure at Walter Reed medical center on… https://t.co/KBs860QYfE,0.0,0.0,1.0,0.0,2018-05-19 14:42:25
99,BBC,"RT @BBCScotland: ""I hid it for quite a while""

Actor @GavsterNo1 talks about living with depression. https://t.co/v0TYxzuH03",-0.6249,0.0,0.733,0.267,2018-05-20 19:55:04
273,CNN Breaking News,RT @CNNPolitics: Gina Haspel is sworn-in as the new CIA director. She is the first female director to lead the agency https://t.co/eGiz87DW…,0.0,0.0,1.0,0.0,2018-05-21 15:09:22
98,BBC,RT @bbccomedy: It's 14 years since The Mighty Boosh graced our telly screens and 45 years today since @noelfielding11 graced our planet! No…,0.4753,0.163,0.837,0.0,2018-05-21 15:53:36
97,BBC,🚗🤔 Should philosophers be teaching driverless cars ethics?  https://t.co/cJtDesmqUA,0.0,0.0,1.0,0.0,2018-05-23 07:00:15
272,CNN Breaking News,RT @CNNMoney: Dow opens 130 points lower. Investors are concerned that the US will not reach a satisfactory trade deal with China. Investor…,-0.5242,0.0,0.779,0.221,2018-05-23 13:41:41
96,BBC,"RT @bbcwritersroom: 😂 Blackadder, Del Boy, Hyacinth Bucket, David Brent, Basil Fawlty - what quality do our favourite #comedy characters al…",0.4404,0.137,0.794,0.069,2018-05-24 10:09:05
271,CNN Breaking News,"Morgan Freeman responds to a CNN report on alleged inappropriate behavior, says he would not intentionally make any… https://t.co/i4wNNco2RS",0.4019,0.137,0.863,0.0,2018-05-24 18:15:07
95,BBC,"RT @bbcthree: In one sentence describe how being in debt has made you feel, and you might be included in a story we’re working on for #Debt…",-0.296,0.047,0.863,0.09,2018-05-25 13:43:35
270,CNN Breaking News,President Trump says talks continue and he remains open to holding a summit with North Korea's Kim Jong Un on June… https://t.co/tU1vIAbqSk,0.0,0.0,1.0,0.0,2018-05-25 14:07:22
94,BBC,"🎶#BiggestWeekend has kicked-off in Swansea with an @EdSheeran singalong! 🔊🏰

Watch now on @BBCiplayer:… https://t.co/i2d9TfxniC",0.0,0.0,1.0,0.0,2018-05-26 11:48:40
93,BBC,"An egg a day to keep the doctor away? 🍳 📈❤️️

A study of nearly half a million people in China suggests a daily egg… https://t.co/mJG6faeiYa",0.0,0.0,1.0,0.0,2018-05-26 19:03:09
92,BBC,"RT @BBCR1: 👑 @stefflondon + @ddlovato + @JaxJones 👑

Watch LIVE at #BiggestWeekend right now on the @BBCiPlayer: https://t.co/pBz5iP9UlH ht…",0.0,0.0,1.0,0.0,2018-05-27 13:39:33
269,CNN Breaking News,"Former Director of National Intelligence James Clapper on the cancelled North Korea summit: “Having gone this far,… https://t.co/GAGhlaEX6T",0.2732,0.147,0.758,0.095,2018-05-27 13:44:49
91,BBC,"Shake it out, shake it out! 🎶

What a magical performance from @flo_tweet! ❤️ Watch it on @BBCiPlayer now ✨ https://t.co/bVSn9KgQtm",-0.1739,0.091,0.751,0.158,2018-05-27 21:06:22
90,BBC,"🍴 Many of us consciously eat a high-protein diet, but how much of it do we really need?
👉 https://t.co/cC8AEHoczZ https://t.co/linptZaqhI",0.0,0.0,1.0,0.0,2018-05-29 07:29:06
268,CNN Breaking News,"Belgian authorities are investigating the killing of three people in the eastern city of Liege as a terror attack,… https://t.co/83YqRmOkkq",-0.8316,0.0,0.685,0.315,2018-05-29 12:49:15
89,BBC,RT @bbccomedy: When a hedgehog causes carnage. #CarShare https://t.co/QUTPjviik0,0.0,0.0,1.0,0.0,2018-05-30 09:25:11
267,CNN Breaking News,"UPDATE: Russian journalist and Kremlin critic Arkady Babchenko, who was said to have been killed, has appeared aliv… https://t.co/uvDxEY5Jhq",-0.765,0.0,0.72,0.28,2018-05-30 14:58:50
88,BBC,"These cuddling baby hares are the cutest thing you'll see today. 💕🐰

https://t.co/LgJsY4XuHD",0.5859,0.241,0.759,0.0,2018-05-30 19:02:05
87,BBC,"'There's nothing a man can do that a woman cannot do'. 

Meet the Nigerian girls fighting out of poverty. 🥊

https://t.co/d0fm8HShEK",-0.7003,0.0,0.756,0.244,2018-05-31 19:02:02
266,CNN Breaking News,"Manhunt ends in the fatal shooting of a Dickinson County, Tennessee, sheriff's deputy. Authorities say Steven Wiggi… https://t.co/OcVdrZT0ZB",-0.5423,0.0,0.821,0.179,2018-06-01 14:07:11
86,BBC,"📸🐶 Call the puparazzi, these divas are ready to shine! 💎https://t.co/zYrpgXF69z",0.4199,0.218,0.782,0.0,2018-06-02 09:00:14
85,BBC,These beautiful black and white photographs of London remained hidden in a loft for 30 years before they were disco… https://t.co/F4PDR8kW81,0.5994,0.17,0.83,0.0,2018-06-03 11:03:08
265,CNN Breaking News,RT @CNNPolitics: Majority Leader Rep. Kevin McCarthy says President Trump is not headed to a “trade war”: “We are in a trade discussion to…,0.0,0.0,1.0,0.0,2018-06-03 14:30:48
84,BBC,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",0.0,0.0,1.0,0.0,2018-06-04 17:01:13
264,CNN Breaking News,"The death toll in Saturday's boat wreck off Tunisia is now the highest of any single migration attempt this year, g… https://t.co/jbePUZpDd7",-0.7783,0.0,0.746,0.254,2018-06-05 12:29:33
83,BBC,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",-0.7184,0.0,0.727,0.273,2018-06-05 19:02:05
263,CNN Breaking News,Dozens of firefighters are tackling a blaze at a hotel in the Knightsbridge section of London… https://t.co/gnJe25iSCO,0.0,0.0,1.0,0.0,2018-06-06 15:35:15
82,BBC,What it's like to find out you were adopted at age 49. https://t.co/Fl1LZJOMKZ,0.3612,0.172,0.828,0.0,2018-06-07 08:01:03
262,CNN Breaking News,Trump is skipping the climate change portion of the G7 summit after a bitter back-and-forth on Twitter with the Fre… https://t.co/taIraYgpmi,-0.4215,0.0,0.872,0.128,2018-06-08 02:18:50
81,BBC,"Forget hygge, a new Nordic lifestyle trend called 'päntsdrunk' is all about drinking in your underwear. 👙🍻… https://t.co/SBTQBZ5E5e",-0.2263,0.0,0.894,0.106,2018-06-08 11:03:04
80,BBC,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",0.0,0.0,1.0,0.0,2018-06-09 10:10:06
261,CNN Breaking News,"Former Fleetwood Mac guitarist Danny Kirwan, who appeared on five of the band's albums, died in London, the band sa… https://t.co/lAx90Ttftp",-0.5574,0.0,0.847,0.153,2018-06-09 21:40:48
79,BBC,Can you believe these wonders are beneath UK waters? https://t.co/BJ3SEEIjDN,0.0,0.0,1.0,0.0,2018-06-10 10:58:07
260,CNN Breaking News,RT @CNNMoney: US stocks barely budge at the opening bell. Genworth Financial spikes 29% after takeover by Chinese conglomerate receives gre…,0.0,0.0,1.0,0.0,2018-06-11 13:44:53
78,BBC,"The UK could see an end to homelessness within 10 years if the government embraces certain policies, according to t… https://t.co/7aqYA3BaEE",0.2732,0.095,0.905,0.0,2018-06-11 14:25:15
259,CNN Breaking News,"Trump says he trusts Kim Jong Un. And if he's wrong? ""I may be wrong, I mean I may stand before you in six months a… https://t.co/Sa0DiXMMip",-0.4767,0.099,0.703,0.198,2018-06-12 09:47:54
77,BBC,"😂 Charlie Chaplin: The original distracted boyfriend.
👉 https://t.co/SplrRVbEzo https://t.co/5pYs0lIMcM",0.4215,0.261,0.556,0.184,2018-06-12 15:01:55
258,CNN Breaking News,"President Trump's personal attorney Michael Cohen has split with his own legal team, a source says. He could be shi… https://t.co/bVUDJLusw2",0.128,0.073,0.927,0.0,2018-06-13 15:57:59
76,BBC,"Anatomist @theAliceRoberts embarks on a quest to rebuild her own body from scratch. 

Can Science Make Me Perfect?… https://t.co/MSu2XCAYqw",0.0,0.0,1.0,0.0,2018-06-13 19:03:07
257,CNN Breaking News,Steve Scalise records first out in return to Congressional Baseball Game for Charity https://t.co/w1T6pt4eSh,0.4215,0.177,0.823,0.0,2018-06-15 02:44:21
75,BBC,"RT @BBCiPlayer: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Not one to mi…",0.5719,0.139,0.861,0.0,2018-06-15 09:56:53
256,CNN Breaking News,"Rudy Giuliani says the President will not pardon anyone in the Russia probe for now, but also that Trump will not ""… https://t.co/dUkT1NfvoQ",-0.1232,0.0,0.937,0.063,2018-06-16 01:53:48
74,BBC,"RT @BBCSport: #PORESP was absolutely unbelievable! 😍

 #WorldCup #bbcworldcup https://t.co/ALW30zBPsY",0.6872,0.34,0.66,0.0,2018-06-16 08:44:09
73,BBC,"😭✊#DadGoals with former F1 driver @RuBarrichello. 
#FathersDay https://t.co/77GfG51TSO",0.0,0.0,1.0,0.0,2018-06-17 09:04:06
255,CNN Breaking News,"Audi CEO Rupert Stadler has been arrested in Germany as part of an investigation into emissions cheating, prosecuto… https://t.co/8pPqSO0LMu",-0.7717,0.0,0.717,0.283,2018-06-18 10:49:47
72,BBC,🎾 Sue Barker hosts live coverage of the opening day of the Championships from the famous Queen's Club in west Londo… https://t.co/KaUoUWXRTE,0.4939,0.132,0.868,0.0,2018-06-18 11:03:06
71,BBC,"RT @BBC_Teach: BBC Bitesize is 20 🙌🎉 !
To celebrate, tell us your Bitesize story. Did you use Bitesize to pass your exams? Do you use Bites…",0.6114,0.138,0.862,0.0,2018-06-19 09:55:13
254,CNN Breaking News,RT @CNNMoney: JUST IN: Starbucks says it will close 150 stores next year https://t.co/TndC6LLVmC https://t.co/CJnFYpjBYV,0.0,0.0,1.0,0.0,2018-06-19 20:59:28
70,BBC,"How to have a baby, debone a chicken, and other life-changing YouTube hacks.
Because life's a little easier with th… https://t.co/2RC1zxgYb4",0.3626,0.129,0.871,0.0,2018-06-20 11:03:05
253,CNN Breaking News,"Koko, the gorilla who mastered sign language and showed the world what great apes can do, dies in her sleep at age… https://t.co/sTtBHTCLWo",0.6249,0.157,0.843,0.0,2018-06-21 13:26:41
69,BBC,"RT @BBCRadio4: Activist
Poet
Director
Actor
Writer...
...and inspiration
@Aardman Animations made a beautiful short film about Maya Angelou…",0.8074,0.313,0.687,0.0,2018-06-21 16:00:09
252,CNN Breaking News,"RT @CNNPolitics: Democratic Sen. Jeff Merkley says he's ""exploring the possibility"" of a 2020 presidential bid https://t.co/twusSwyQPM http…",0.0,0.0,1.0,0.0,2018-06-22 16:32:53
68,BBC,"♻️🌍Small actions can make a big difference. 
#PlasticsAction

https://t.co/AWXUYNJ4e3 https://t.co/9Khy2bq19Z",0.0,0.0,1.0,0.0,2018-06-23 07:22:00
67,BBC,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",0.8268,0.312,0.688,0.0,2018-06-24 11:04:03
251,CNN Breaking News,"RT @CNNMoney: Jurassic World sequel crosses $700 million at the global box office
https://t.co/HatryuM22E https://t.co/XclFUKi9rs",0.0,0.0,1.0,0.0,2018-06-24 15:38:27
66,BBC,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,0.3182,0.161,0.839,0.0,2018-06-25 14:57:32
250,CNN Breaking News,RT @CNNMoney: JUST IN: Chinese stocks enter bear market as trade war heats up https://t.co/h3lAsT3UhU https://t.co/HKGaq1oKCm,-0.5994,0.0,0.794,0.206,2018-06-26 07:28:48
65,BBC,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",0.0,0.0,1.0,0.0,2018-06-26 21:20:15
249,CNN Breaking News,"Justice Anthony Kennedy, a conservative who provided key votes for same-sex marriage and abortion access, will reti… https://t.co/cSk3bgUcPq",0.5267,0.175,0.825,0.0,2018-06-27 18:17:46
64,BBC,🦔 A hedgehog which it is thought could be the world's fattest has been placed on a strict diet and exercise regime.… https://t.co/351IQDFz3F,0.0,0.0,1.0,0.0,2018-06-28 11:16:03
63,BBC,😂 Dropping MAJOR hints that you want a lift… https://t.co/BC9bJWyOky,0.4939,0.3,0.588,0.112,2018-06-29 18:01:04
248,CNN Breaking News,"The President said his list of replacements for Justice Kennedy is down to about five, including two women, and tha… https://t.co/MumXlIAJ1O",0.5267,0.145,0.855,0.0,2018-06-29 21:55:34
62,BBC,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,-0.5106,0.153,0.491,0.356,2018-06-30 19:50:50
61,BBC,"Get unprecedented access to the hidden world of elite gymnasts in Russia. 🤸‍♀️

Storyville: Olympic Dreams of Russi… https://t.co/2ZhaGsysoa",0.4019,0.124,0.876,0.0,2018-07-01 19:27:02
247,CNN Breaking News,A 52-year-old man was arrested on arson charges in connection with a blaze in southern Colorado that has burned mor… https://t.co/9G4S8kf0q6,-0.6369,0.0,0.766,0.234,2018-07-01 20:47:01
60,BBC,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4,0.0,0.0,1.0,0.0,2018-07-03 08:00:15
246,CNN Breaking News,"The highest-ranking career official at the Justice Department, Scott Schools, plans to step down for a job in the p… https://t.co/8sNlnnkJlz",0.5267,0.152,0.848,0.0,2018-07-03 16:44:19
59,BBC,"For the first time, astronomers have captured an image of a planet that's still forming. 🔭🌟📸
https://t.co/WoDnm1SdVj https://t.co/Kq6llPJGLZ",0.0,0.0,1.0,0.0,2018-07-04 11:01:08
245,CNN Breaking News,"At least 17 people have died in Quebec due to high heat and humidity, officials say https://t.co/zSjLoRypSf https://t.co/zWXNlQS7dA",-0.5574,0.0,0.825,0.175,2018-07-04 23:02:04
58,BBC,"🛍🛒 Is it possible to shop without buying plastic?
#PlasticsAction https://t.co/nV0kMA6UzE",0.0,0.0,1.0,0.0,2018-07-05 12:00:01
57,BBC,🐝🕺🐝 We all know someone who does the wasp dance. https://t.co/IJm0eTScUS,0.0,0.0,1.0,0.0,2018-07-06 12:00:19
244,CNN Breaking News,"Brazil becomes latest World Cup giant to crash out, crushed by Belgium in a quarterfinal upset… https://t.co/uljBBrqTmv",-0.6705,0.0,0.718,0.282,2018-07-06 20:06:52
56,BBC,"One. Step. Closer. ️⚽️➡️🏠

Here's what could happen if @England won the #WorldCup... 

#ENGSWE #ENG #ThreeLions

https://t.co/XXqMRopNvK",0.5719,0.188,0.812,0.0,2018-07-07 12:31:04
55,BBC,"😳🏝 Still haunted by the image of Pierce Brosnan dancing in flippers? Well, he’s back. 

🎥🍿 These are the nine films… https://t.co/Xw6O9UYha4",-0.25,0.083,0.794,0.123,2018-07-08 09:03:05
243,CNN Breaking News,"Tropical Storm Beryl has weakened to a low pressure system as it moves toward Puerto Rico, the National Hurricane C… https://t.co/R2nA0BuNsB",-0.6808,0.0,0.72,0.28,2018-07-08 22:59:11
54,BBC,"RT @BBCArchive: #OnThisDay 2001: The Office was first broadcast, on @BBCTwo. https://t.co/TgfV8bNhy4",0.0,0.0,1.0,0.0,2018-07-09 08:51:06
53,BBC,"RT @BBCSport: We have some exciting news...

@andy_murray will be joining the BBC commentary team this week at @Wimbledon 

👉 https://t.co/…",0.4939,0.122,0.878,0.0,2018-07-10 08:55:48
242,CNN Breaking News,"Two more boys have been rescued from a cave complex, according to a Thai navy official. Ten of the 12 boys have now… https://t.co/cSE19cnJE9",0.4215,0.118,0.882,0.0,2018-07-10 09:51:37
52,BBC,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",-0.2732,0.0,0.905,0.095,2018-07-11 09:04:05
241,CNN Breaking News,Defending champion Roger Federer loses to South Africa's Kevin Anderson in the Wimbledon quarterfinals… https://t.co/EZQupaiUfm,0.3818,0.203,0.677,0.12,2018-07-11 16:37:38
51,BBC,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",0.0,0.0,1.0,0.0,2018-07-11 20:23:23
50,BBC,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",0.3182,0.119,0.881,0.0,2018-07-13 11:03:03
240,CNN Breaking News,"President Trump says ""I didn't criticize the prime minister"" in UK newspaper interview and adds that a recording of… https://t.co/wQMxYL93vg",0.2924,0.108,0.892,0.0,2018-07-13 13:21:57
49,BBC,"There she goes! 🚢 🌊

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is la… https://t.co/bYll3hTWpa",0.0,0.0,1.0,0.0,2018-07-14 12:10:55
239,CNN Breaking News,Haiti's Prime Minister resigns amid violent and deadly protests sparked by a proposed plan to raise fuel prices… https://t.co/EVFHxjwfD6,-0.7964,0.0,0.649,0.351,2018-07-14 22:15:27
48,BBC,"The #ThaiCaveRescue boys now know that a volunteer died helping to save them, Thailand’s health ministry says.… https://t.co/Nf4Xk3p8ez",0.2023,0.235,0.609,0.157,2018-07-15 17:04:03
47,BBC,"RT @BBCR1: 2018 has seen some amazing music collabs so far... but who else would you love to see team up?

Still waiting on a @ShawnMendes…",0.8481,0.263,0.737,0.0,2018-07-16 16:32:34
238,CNN Breaking News,"Senate Minority Leader Chuck Schumer says he was ""appalled"" by the President's remarks after his talks with Putin.… https://t.co/k1tB5JCIwv",0.0,0.0,1.0,0.0,2018-07-16 19:49:05
237,CNN Breaking News,Two class-action lawsuits filed by former wrestlers claim Ohio State University turned a blind eye to a doctor's al… https://t.co/QT5P92H2R0,-0.5106,0.0,0.788,0.212,2018-07-18 02:21:07
46,BBC,"🥄 For some people, passing through airport security can be a life-changing moment. https://t.co/4YbqwzP0Nz",0.34,0.167,0.833,0.0,2018-07-18 08:00:19
45,BBC,RT @bbcthree: #OneHotSummer2018 has arrived! Our brand-new series follows different groups of friends on a month-long trip through Spain. h…,0.5255,0.159,0.841,0.0,2018-07-19 13:01:15
236,CNN Breaking News,"At least one person has died and more than 10 were injured when a tourist boat capsized in Missouri, official says… https://t.co/Is2rhyQxYt",-0.743,0.0,0.751,0.249,2018-07-20 02:33:21
44,BBC,🐻🍞♥️ Who doesn't love a teddy bear?  https://t.co/Pxd4u1WYLa,-0.5216,0.0,0.64,0.36,2018-07-20 12:02:04
